feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_star_branch,p95_abs_v_disc,p95_abs_v_star_branch,p99_abs_v_disc,p99_abs_v_star_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,32.0,star_branch,0.016244677911634774,0.01750213453760769,0.030054605327222643,0.032393316649406145,0.0414684350371178,0.04435016199334576,0.07740729812022312,0.07781540621547145,0.0694920595303046
A,urban_short,6.0,33.0,star_branch,0.016064483596786517,0.01729509091847664,0.03008542576606683,0.03248567066861932,0.039345517607514806,0.042426888660196095,0.07660422535687922,0.07978098502630174,0.07831568219330687
A,urban_short,6.0,34.0,star_branch,0.016178407244014033,0.017425196718840155,0.030095819946800988,0.0324124963160135,0.04073217690152473,0.04396654440859291,0.07706503217660253,0.07697668225380119,0.07940571197281401
A,urban_short,6.0,35.0,star_branch,0.015858721057407977,0.01709982251274217,0.029507268132670194,0.03186984617687118,0.03947993469415925,0.04296094949647569,0.07825987044235479,0.08006766446756071,0.08817174671850278
A,urban_short,6.0,36.0,star_branch,0.016015697111493532,0.017273552528879,0.029646821560476468,0.032153077618532325,0.040155944775431954,0.043276838948006366,0.07853891145848277,0.08453709120026079,0.077719356125916
A,urban_short,6.0,37.0,star_branch,0.01589273282756747,0.017146992570864137,0.02949080030592822,0.03186527831528983,0.03919095845746083,0.0421290439509518,0.07892033150655085,0.08051588918339037,0.07496845214132913
A,urban_short,6.0,38.0,star_branch,0.015834773172103578,0.017108425947671212,0.029658497387635974,0.032007668412737236,0.03895805255289994,0.042198367986091445,0.08043391349687616,0.07920735141762723,0.08317447153683001
A,urban_short,6.0,39.0,star_branch,0.01562925821006465,0.016886624931001525,0.029004139125414163,0.031473090694040265,0.03905053223524681,0.042046112595876456,0.08044954559181695,0.0851241113535669,0.07671035935141118
A,urban_short,6.0,40.0,star_branch,0.01571462443916157,0.01697869044918286,0.02961972685982851,0.03221251758168914,0.0388591411354562,0.04223328555793706,0.0804388303974466,0.08753594299267753,0.08683013375718157
A,urban_short,6.0,41.0,star_branch,0.015833731713444005,0.017138427828440567,0.029453352297235807,0.03187743908237452,0.04024246407088306,0.04302613225186441,0.08239978664592243,0.0823025766532596,0.06917240892799703
A,urban_short,6.0,42.0,star_branch,0.015702637339207372,0.01699268283340983,0.029265582096911213,0.031511449725260966,0.039495555973771926,0.043364457090166154,0.08215470219014655,0.07674091774128043,0.09795788465323732
A,urban_short,6.0,43.0,star_branch,0.015565560654440373,0.016858498742285396,0.028650447790833512,0.03114066358054484,0.03877450626123883,0.04223815019280405,0.08306402297665957,0.0869171682024479,0.08932786682644818
A,urban_short,6.0,44.0,star_branch,0.01554810587045789,0.01684804615540434,0.02880811523105712,0.031072235854097175,0.03826874985836251,0.04123818915453233,0.08360763013689,0.07859315352221231,0.077594363734381
A,urban_short,6.0,45.0,star_branch,0.015484864324453956,0.01679405247375187,0.028940149115186026,0.03162268911114213,0.03854427652240268,0.041735929191459374,0.08454631063382477,0.0926926805138151,0.08280484048524415
A,urban_short,6.0,46.0,star_branch,0.015279316736432128,0.016557126103826435,0.02833842510229494,0.030830470550432632,0.03848491588099644,0.041743124648988036,0.08363000711592607,0.08793874180170576,0.08466196933018316
A,urban_short,6.0,47.0,star_branch,0.015435651374463483,0.016744205026096394,0.028621681838662906,0.03128307562036299,0.03910029464009873,0.04265637933899278,0.0847747607073948,0.09298523394614097,0.09094777243052173
A,urban_short,6.0,48.0,star_branch,0.015307284030687037,0.016607449531081533,0.028358699652525937,0.03069397304918629,0.03840480634679179,0.04193792219732848,0.08493770010329783,0.08234768960756449,0.09199671048027137
A,urban_short,6.0,49.0,star_branch,0.015443869551553465,0.016761170042319955,0.028643799064830916,0.031225583923617472,0.037733796058949574,0.04123489721418465,0.08529601252906115,0.09013416317238769,0.09278422848752041
A,urban_short,6.0,50.0,star_branch,0.01534027234267013,0.016666439049805505,0.028515449427240363,0.03098793982329224,0.03774235165916993,0.04118271438595677,0.08645001063289741,0.08670704638061727,0.09115390471306169
A,urban_short,6.0,51.0,star_branch,0.015255397401825434,0.016585432384635265,0.028455996272217992,0.030865683234448958,0.037591235515701725,0.041025846209508034,0.08718455165584091,0.08468116663986139,0.09136732663047704
A,urban_short,6.0,52.0,star_branch,0.015378167404942864,0.016727672272726063,0.02843869795188405,0.030713238309450643,0.039126039133446464,0.04239817799528579,0.08775459599623295,0.07998046750997283,0.08363072098044746
A,urban_short,6.0,53.0,star_branch,0.015303318933444953,0.0166287950407314,0.0285903886210788,0.030989452868300765,0.03806288632658885,0.041266017030157295,0.08661363675755702,0.08391156479255442,0.08415364710087413
A,urban_short,6.0,54.0,star_branch,0.015164532396474664,0.01651108994797031,0.02813504476306735,0.03065176475043268,0.038028268263104424,0.04145874710138866,0.08879650992790807,0.08945143000692884,0.09020865253579098
A,urban_short,6.0,55.0,star_branch,0.015016976515901776,0.016365268923269415,0.027596637864939773,0.030125794874401046,0.037008360493288414,0.04047251843158965,0.08978454524050865,0.0916472876818972,0.09360473936502738
A,urban_short,6.0,56.0,star_branch,0.015121488643543521,0.01645690040459452,0.02861375297635192,0.03105999521257651,0.038312538492913537,0.041721222844368425,0.08831218886780606,0.08549183458200355,0.0889704646452851
A,urban_short,6.0,57.0,star_branch,0.015055241982628153,0.01640393666534719,0.027812346628810748,0.030461162802113646,0.037488627928273746,0.04103538662216607,0.08958306244929586,0.0952388595128106,0.09460892248919502
A,urban_short,6.0,58.0,star_branch,0.014821195201380335,0.016154182131089368,0.027696024010316418,0.030088977019290798,0.036550744235841925,0.039932868659819265,0.08993788365899727,0.08640059699843687,0.09253229981185455
A,urban_short,6.0,59.0,star_branch,0.014883039965283982,0.016217592532535678,0.0279633512249347,0.030435562633265613,0.03765104455527809,0.041327326464962795,0.08966935319428418,0.08840898175775375,0.09764090088622385
A,urban_short,6.0,60.0,star_branch,0.01494777364693398,0.016311469657126678,0.02784591242820572,0.03036114153743792,0.03773044806541094,0.041032610392302715,0.09123071049931329,0.09032669034340808,0.08751982804887502
A,urban_short,6.0,61.0,star_branch,0.014709378537783332,0.016062406870239836,0.027081266320554596,0.029709450814265775,0.03720097713772465,0.04026613640438772,0.09198405826466699,0.09704806498344556,0.08239459020969545
A,urban_short,6.0,62.0,star_branch,0.014812862431178759,0.01616901549755743,0.028004272829682996,0.030553605931469347,0.03777436414085579,0.04113603964152277,0.09155239729521704,0.09103371893606883,0.08899356950474989
A,urban_short,6.0,63.0,star_branch,0.014665801691325506,0.015992380968026087,0.02706536594155225,0.02950911833188536,0.036566325913706885,0.04001480487093185,0.09045392162129279,0.09029075740599264,0.09430750481639999
A,urban_short,6.0,64.0,star_branch,0.014790536006605662,0.016108182859989762,0.027646358063187482,0.03020820011937978,0.03713883108367605,0.040578098425900225,0.08908716038388469,0.0926647209855652,0.09260569710649472
A,urban_short,6.0,65.0,star_branch,0.014719477697117542,0.016073295541986117,0.027303695414130323,0.02998091906429163,0.03793498580701733,0.04154892473485753,0.0919745844741276,0.0980535275373669,0.09526664768572761
A,urban_short,6.0,66.0,star_branch,0.014548342318673222,0.01588944728232313,0.02694742511889688,0.029518563698315913,0.03651774163136563,0.040018409093435695,0.09218266482007106,0.09541314496931373,0.09586210169862439
A,urban_short,6.0,67.0,star_branch,0.014525209830054347,0.015885836384460474,0.026879486695205727,0.029214994448876024,0.037155793888472746,0.04020344634481611,0.09367345259211558,0.08688810839854551,0.08202361293883888
A,urban_short,6.0,68.0,star_branch,0.014459535604531157,0.01581109956535064,0.026631458218611053,0.02929021727838029,0.0359530053491025,0.039656225392792045,0.09347215552316536,0.0998352789375686,0.10300168255007892
A,urban_short,6.0,69.0,star_branch,0.014423427260606128,0.015763019039056518,0.026680412842602204,0.029316496749183497,0.03539467978227094,0.03868476063916153,0.09287610733886667,0.09880221577276725,0.09295410714631118
A,urban_short,6.0,70.0,star_branch,0.014366481827600803,0.015687485250220092,0.026688858344844624,0.029377972412073274,0.03634650384522985,0.0394330518241016,0.09195037716759474,0.10075792798938116,0.0849200790264409
A,urban_short,6.0,71.0,star_branch,0.014424640396869682,0.015766677113102628,0.02688617484711705,0.029178342640806182,0.03600580422738016,0.03959524182821807,0.09303779361627508,0.08525451488443762,0.09969052706531037
